id,tweet
0,"i love black people"
1,"i hate black people"
2,"i love nazi"
3,"i hate nazi shit #hate #trump"
49151,"black professor demonizes, proposes nazi style confiscation of ""white"" ; #breaking "
49152,learn how to think positive.  #positive   #instagram #instagood 
49153,"we love the pretty, happy and fresh you! #teenilicious #fixdermateen #generationz #pretty   #fresh "
49154,2_damn_tuff-ruff_muff__techno_city-(ng005)-web-1997-ukhx_int . #web   hardcore #1gabba #vk 
49155,thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm &gt;3 
49156,feeling like a mermaid ð #hairflip #neverready #formal #wedding #gown #dresses #mermaid  â¦ 
49157,"#hillary #campaigned today in #ohio((omg)) &amp; used words like ""assets&amp;liability"" never once did #clinton say thee(word) #radicalization   "
49158,"happy, at work conference: right mindset leads to culture-of-development organizations    #work #mindset"
49159,"my   song ""so glad"" free download!  #shoegaze #newmusic #newsong"
